id,rate
0,28.6
1000,30.4
1001,33.8
1003,29.6
1005,32.4
1007,35.7
1009,36
1011,35.2
1013,34.5
1015,32.2
1017,32.1
1019,34.9
1021,35.8
1023,34.7
1025,37.7
1027,37.8
1029,35.8
1031,26.2
1033,33.9
1035,38.1
1037,38.3
1039,33
1041,29
1043,32
1045,29.2
1047,33.6
1049,34
1051,33.8
1053,34.7
1055,32.3
1057,35
1059,30.5
1061,32
1063,34.9
1065,35.9
1067,29.1
1069,30.4
1071,34.9
1073,27.9
1075,37.5
1077,34.1
1079,39.4
1081,26.7
1083,32.5
1085,33.4
1087,25
1089,21.9
1091,37.4
1093,32.9
1095,30.5
1097,31.9
1099,34.4
1101,24.3
1103,30.3
1105,30.4
1107,37.8
1109,30
1111,32
1113,33
1115,34.6
1117,23
1119,31.1
1121,34.4
1123,32.9
1125,28.4
1127,34.7
1129,43.6
1131,30.3
1133,34.3
2000,27.9
2010,
2013,49
2016,34.4
2020,24.2
2050,38.6
2060,34
2068,30.4
2070,33.9
2090,25.5
2100,31.1
2105,
2110,22
2122,31.8
2130,29.7
2150,31.3
2158,41.2
2160,
2164,39.2
2170,31.3
2180,38.1
2185,35.1
2188,40.4
2195,
2198,
2201,41.1
2220,25.3
2230,
2231,
2232,30.5
2240,35.1
2250,
2261,29.9
2275,
2280,36.5
2282,33.3
2290,39.4
4000,24.3
4001,24.9
4003,24.6
4005,21.6
4007,28.7
4009,30.1
4011,35.1
4012,33.9
4013,23.1
4015,34.9
4017,27.7
4019,23.3
4021,30.4
4023,22.8
4025,28.2
4027,25.7
5000,34.1
5001,39.8
5003,43.2
5005,37.5
5007,32.8
5009,35
5011,36.8
5013,43.5
5015,34
5017,35.3
5019,32.4
5021,37.8
5023,36.4
5025,43.4
5027,35.8
5029,41.4
5031,32.8
5033,36
5035,33.1
5037,38.2
5039,41.1
5041,36
5043,34.3
5045,31.3
5047,35.4
5049,39
5051,32.8
5053,42.3
5055,40.6
5057,38.3
5059,39.7
5061,37.9
5063,39.7
5065,36.5
5067,38.3
5069,34.8
5071,36.7
5073,36
5075,36.7
5077,29.6
5079,37.8
5081,38.2
5083,38.4
5085,35.7
5087,38.9
5089,38.3
5091,35.8
5093,32.1
5095,38.2
5097,39.2
5099,39.2
5101,37.8
5103,34.9
5105,41.4
5107,26.5
5109,39.2
5111,39.5
5113,36.2
5115,33.5
5117,38.8
5119,27.1
5121,38.4
5123,32.8
5125,37.7
5127,37.2
5129,40.6
5131,31.2
5133,33.8
5135,38.3
5137,38.5
5139,35.5
5141,36.8
5143,30.5
5145,35.7
5147,36.7
5149,35.7
6000,20.1
6001,19
6003,26
6005,30.2
6007,24.3
6009,28.6
6011,24.1
6013,19.8
6015,27.5
6017,22.2
6019,21.1
6021,26.8
6023,25.7
6025,22
6027,31.3
6029,25.4
6031,28.9
6033,29.8
6035,30.9
6037,18.8
6039,25.3
6041,12.4
6043,26.3
6045,26
6047,23.9
6049,29.4
6051,20.7
6053,18.6
6055,20.5
6057,23.8
6059,17.5
6061,21.3
6063,27.7
6065,24.7
6067,22.9
6069,23.2
6071,25
6073,19.9
6075,13.9
6077,25.2
6079,21.8
6081,17.5
6083,19
6085,15.9
6087,16.6
6089,27.6
6091,28.7
6093,28.2
6095,24.5
6097,20.4
6099,26.1
6101,23.6
6103,30.8
6105,29.6
6107,22.9
6109,29.7
6111,19.7
6113,19.8
6115,27.2
8000,23.2
8001,30.8
8003,27.1
8005,20.5
8007,26.8
8009,34.3
8011,35.1
8013,15.1
8014,
8015,29.9
8017,34.8
8019,21.5
8021,33.8
8023,27.3
8025,34.5
8027,28.1
8029,34
8031,20
8033,33.3
8035,13.1
8037,16.5
8039,27.4
8041,22.9
8043,36.7
8045,26.9
8047,25.6
8049,24
8051,17.8
8053,20.7
8055,32.4
8057,36.1
8059,22.6
8061,35.5
8063,31.6
8065,27.3
8067,23.1
8069,21.3
8071,27.2
8073,35
8075,32
8077,30.3
8079,28.4
8081,33.5
8083,33.1
8085,33.4
8087,31
8089,30.7
8091,21.6
8093,26.7
8095,32.1
8097,10.9
8099,28.9
8101,31
8103,32
8105,30
8107,17.7
8109,24.8
8111,14.5
8113,15.1
8115,35.5
8117,17.7
8119,23.5
8121,33.6
8123,26.9
8125,33.8
9000,28.5
9001,23.5
9003,28.6
9005,31.4
9007,28.6
9009,30.8
9011,32
9013,29
9015,35.7
10000,31.4
10001,32.9
10003,29.6
10005,35.6
11000,20.6
11001,20.6
12000,28.7
12001,20.3
12003,41.4
12005,30.6
12007,40.1
12009,28.9
12011,28.4
12013,38.6
12015,35.7
12017,38
12019,31.7
12021,26.2
12023,34.9
12027,35.3
12029,39.4
12031,29.1
12033,28.3
12035,31.9
12037,36.4
12039,35.9
12041,36.1
12043,36.8
12045,37.1
12047,35.1
12049,31.5
12051,29.1
12053,37.7
12055,34.6
12057,26.7
12059,37.8
12061,29.1
12063,32.7
12065,32.2
12067,40.1
12069,34.3
12071,32.5
12073,18.9
12075,38.2
12077,40.4
12079,34.2
12081,31.9
12083,35.9
12085,28.3
12086,22.3
12087,28.9
12089,34.4
12091,27.1
12093,33.9
12095,25.8
12097,33.9
12099,26.9
12101,36.8
12103,29.7
12105,33.7
12107,37.3
12109,24.5
12111,32.7
12113,29.2
12115,30.1
12117,24.4
12119,38.8
12121,38.8
12123,40.9
12125,38.9
12127,32.3
12129,34.9
12131,32.3
12133,38.8
13000,28.7
13001,37.2
13003,36
13005,44
13007,40.4
13009,35.4
13011,38.3
13013,36
