id,rate,Unemployment_rate_2000
1001,5.1,4
1003,4.9,3.7
1005,8.6,5.5
1007,6.2,5.3
1009,5.1,3.5
1011,7.1,8.5
1013,6.7,7.8
1015,6.1,5.1
1017,5,4.4
1019,5,4.5
1021,5.2,4.3
1023,7.9,6.5
1025,11.1,7.3
1027,5.9,6.1
1029,5.5,4.1
1031,5.6,5.8
1033,6.5,5.5
1035,7.7,6.5
1037,5.7,5.4
1039,6.7,6.9
1041,5.7,5.7
1043,4.8,4.1
1045,5.6,5.2
1047,9.5,8
1049,5.7,4
1051,4.7,4
1053,6.3,5.2
1055,5.7,5.8
1057,6.6,5.8
1059,5.5,6.5
1061,5.4,5.1
1063,9.3,6.8
1065,7.6,6
1067,6.3,4.9
1069,5.6,4.4
1071,5.9,5.2
1073,5.5,4
1075,5.2,6.9
1077,6,5
1079,6.4,5
1081,4.9,4
1083,5,3.8
1085,10.3,6.9
1087,7.2,5.8
1089,4.9,3.5
1091,6.9,5.2
1093,6.1,6.7
1095,5.1,4.8
1097,6.5,4.9
1099,8.6,6.4
1101,5.6,4.2
1103,5.2,4.2
1105,10.9,9.2
1107,6.7,7.5
1109,6.4,5.5
1111,5.7,4.8
1113,5.3,4.6
1115,5,3.7
1117,4.2,2.7
1119,7.3,9.1
1121,6.4,5.2
1123,5.1,4.9
1125,5.5,3.9
1127,7.2,5.8
1129,8.3,6.8
1131,13.9,8.7
1133,7,7.8
2013,1.9,6.4
2016,2.2,8.7
2020,5,5.2
2050,14.1,5.1
2060,5.6,9
2068,3.2,6.4
2070,8.1,7.3
2090,4.9,7.4
2100,5.9,6.2
2105,7.3,8.1
2110,3.6,
2122,6.9,4.7
2130,4.4,8.3
2150,4.8,6.3
2158,21.7,8.4
2164,9.2,15.3
2170,7.4,5.2
2180,13.6,7.3
2185,6.9,9.7
2188,16.5,8.5
2195,5.7,9.1
2198,9.4,
2220,3,
2230,3,14.3
2240,8.7,4.8
2261,5.4,
2275,5.4,9.9
2282,5.8,12.4
2290,16.4,7.7
4001,11.8,
4003,6.5,9.8
4005,6.4,7
4007,7.6,11.6
4009,7.3,4
4011,7.7,9
4012,6.6,4.5
4013,4.9,4.4
4015,7,5.2
4017,8.5,5.4
4019,5.4,4.2
4021,5.9,6.3
4023,13,3.2
4025,5,4.4
4027,24.4,7.2
5001,3.2,3.7
5003,6.3,4.6
5005,4.1,8.2
5007,2.7,4
5009,3.3,16.4
5011,5.9,4.3
5013,5.1,4.6
5015,2.8,5.9
5017,6,4.2
5019,4.5,2.8
5021,5,4.2
5023,5.7,6.5
5025,4.4,5.5
5027,5.7,3.9
5029,5.9,7.4
5031,3.1,4.3
5033,3.7,5.4
5035,4.4,4.5
5037,3.9,5
5039,5,5.2
5041,5.1,6.1
5043,5.7,4
5045,3.7,3.6
5047,3.9,4.2
5049,3.9,4.7
5051,4,5.6
5053,3.2,8.2
5055,4,6
5057,3.7,3.6
5059,3.6,3.4
5061,3.4,3.9
5063,5,4.3
5065,5.3,4
5067,5.9,4.8
5069,5.9,4.6
5071,4.8,4.3
5073,6.2,4.3
5075,4.5,4.9
5077,4.5,4.7
5079,4.9,7.6
5081,5.1,5.8
5083,4.4,4.2
5085,3.2,6
5087,3,5.3
5089,3.8,7.5
5091,4.3,6.2
5093,7.1,4.6
5095,4.5,4.1
5097,4.6,3.3
5099,3.7,3.1
5101,3.6,3.9
5103,5.6,4.5
5105,4.4,7.8
5107,5.5,5.1
5109,3.8,4.1
5111,4.1,4.8
5113,4.7,4.3
5115,4.7,5.9
5117,3.7,5
5119,3.5,6.2
5121,4.6,4.2
5123,5,4.8
5125,3,4.1
5127,3.7,4.3
5129,4.3,4.4
5131,3.5,3.8
5133,4.8,5.3
5135,5.2,7
5137,4.8,3.3
5139,5.6,3.5
5141,6.4,5
5143,2.6,3.4
5145,4.8,3.8
5147,5.3,5.3
5149,4.4,4.4
6001,4.6,4.8
6003,7.3,5.4
6005,5.7,3
6007,6.6,4.8
6009,5.7,6.3
6011,10,4
6013,4.7,4.9
6015,7.3,3.6
6017,5.1,6.3
6019,8.7,5.2
6021,7.9,6.2
6023,5.1,5.6
6025,26.4,11.6
6027,4.9,3.6
6029,9.7,7.4
6031,8.9,4.1
6033,6.3,10.4
6035,6.1,8.5
6037,5.3,5.8
6039,8.2,17.5
6041,3.5,4.7
6043,5.4,8.3
6045,5,10
6047,9.2,7.3
6049,6.6,7.2
6051,5.2,5.4
6053,5.6,8.7
6055,4,2.9
6057,4.8,6.2
6059,4.3,5.6
6061,4.7,9.6
6063,7.1,7.5
6065,6.9,4.7
6067,5.7,7.4
6069,6.2,3.6
6071,6.2,4.2
6073,5,3.5
6075,3.5,3.6
6077,7.7,7.1
6079,4.5,5.4
6081,3.2,4.3
6083,4.8,6
6085,4,4.8
6087,5.7,3.9
6089,6.8,3.4
6091,6.6,7
6093,7.1,4
6095,5.7,2.9
6097,4.1,4.4
6099,7.9,3.1
6101,7.9,5.1
6103,7.4,6.1
6105,5.9,5.9
6107,10.6,7.5
6109,6.1,4.6
6111,5.7,3.4
6113,5.5,7.8
6115,8,9.4
8001,3.6,6.5
8003,4.3,9.8
8005,3.2,10.4
8007,3.1,5.9
8009,1.8,4.5
8011,3.1,5
8013,2.9,8
8014,3.1,2.8
8015,2.4,2.8
8017,2.7,3.6
8019,3.3,2.4
8021,4.9,3.2
8023,4.8,2.9
8025,3.6,3.9
8027,3,2.4
8029,4.7,2.4
8031,3.2,3.3
8033,4.1,2.6
8035,2.8,2.7
8037,2.5,5.1
8039,2.6,7.5
8041,3.9,5.4
8043,5.1,3.4
8045,3.3,3.7
8047,2.6,3
8049,2.3,5.6
8051,2.1,2.1
8053,2,2.4
8055,6.2,2.3
8057,2.3,2.9
8059,3.1,3.9
8061,2.1,2.7
8063,1.8,2.5
8065,2.6,2.5
8067,2.9,2.8
8069,2.9,2
8071,5,5.6
8073,2.5,2.8
8075,3.3,2.4
8077,5.3,3.1
8079,1.7,2.6
8081,3.6,3.4
8083,4.5,2.9
8085,3.9,2.5
8087,3.5,4.2
8089,4.6,2.8
8091,3.2,2.9
8093,2.7,3.3
8095,2.3,3.6
8097,2.7,3.6
8099,3.5,4.2
8101,4.9,3.7
8103,5.1,3
8105,5.1,4.4
8107,2.6,2.6
8109,5.9,2.6
8111,2.4,2.6
8113,2.4,2.8
8115,2.2,2.9
8117,2.1,4
8119,3.7,2.9
8121,2.1,4.5
8123,3.5,2.5
8125,2.2,5.6
9001,5.2,4.7
9003,6,3
9005,4.8,2.7
9007,4.8,2.3
9009,6.1,3
9011,5.4,2.6
9013,4.8,2.7
9015,5.8,2.6
10001,5.1,2.4
10003,4.5,2.1
10005,3.7,2.6
11001,6.5,2.1
12001,4.4,2.1
12003,4.7,2.6
12005,4.6,2.4
12007,4.2,1.9
12009,5.2,2.7
12011,4.6,3.7
12013,5.9,4
12015,5.3,3.6
12017,6.8,3.9
12019,4.4,5.6
12021,5.3,5.6
12023,4.8,3.7
12027,6.1,3
12029,5.3,3
12031,5.1,4.6
12033,5,3.8
12035,5.4,3.6
12037,4.1,3.6
12039,6.3,4.7
12041,5.1,3.7
12043,6.9,4.7
12045,4.3,3
12047,4.4,3.7
12049,7.2,3.9
