Console	Year	Count	PlayTime
Nintendo DS	2004	14	9.132142857
Sony PSP	2004	8	6.0875
Nintendo DS	2005	62	13.96587302
Sony PSP	2005	53	9.84245283
X360	2005	18	8.405555556
Nintendo DS	2006	60	18.50472222
Sony PSP	2006	91	12.76117216
X360	2006	68	18.14852941
Nintendo Wii	2006	27	8.724074074
PlayStation 3	2006	17	11.93921569
Nintendo DS	2007	97	12.46666667
Sony PSP	2007	65	16.73461538
X360	2007	97	15.67371134
Nintendo Wii	2007	85	10.17882353
PlayStation 3	2007	70	14.74166667
Nintendo DS	2008	83	14.40040161
Sony PSP	2008	25	13.13866667
X360	2008	104	13.63237179
Nintendo Wii	2008	75	13.56333333
PlayStation 3	2008	92	13.05362319
